person,sites
http://www.wikidata.org/entity/Q36303,115
http://www.wikidata.org/entity/Q40715,115
http://www.wikidata.org/entity/Q38337,115
http://www.wikidata.org/entity/Q40909,115
http://www.wikidata.org/entity/Q37064,115
http://www.wikidata.org/entity/Q36591,115
http://www.wikidata.org/entity/Q4235,115
http://www.wikidata.org/entity/Q35900,115
http://www.wikidata.org/entity/Q5383,115
http://www.wikidata.org/entity/Q8763,115
http://www.wikidata.org/entity/Q72984,115
http://www.wikidata.org/entity/Q22670,114
http://www.wikidata.org/entity/Q11758,114
http://www.wikidata.org/entity/Q12807,114
http://www.wikidata.org/entity/Q129817,114
http://www.wikidata.org/entity/Q202765,114
http://www.wikidata.org/entity/Q25973,114
http://www.wikidata.org/entity/Q2492,114
http://www.wikidata.org/entity/Q42786,114
http://www.wikidata.org/entity/Q37876,114
http://www.wikidata.org/entity/Q37463,114
http://www.wikidata.org/entity/Q41173,114
http://www.wikidata.org/entity/Q765165,114
http://www.wikidata.org/entity/Q19794,113
http://www.wikidata.org/entity/Q12706,113
http://www.wikidata.org/entity/Q10520,113
http://www.wikidata.org/entity/Q2908,113
http://www.wikidata.org/entity/Q241248,113
http://www.wikidata.org/entity/Q34851,113
http://www.wikidata.org/entity/Q37079,113
http://www.wikidata.org/entity/Q36456,113
http://www.wikidata.org/entity/Q37193,113
http://www.wikidata.org/entity/Q37970,113
http://www.wikidata.org/entity/Q36661,113
http://www.wikidata.org/entity/Q40904,113
http://www.wikidata.org/entity/Q504,113
http://www.wikidata.org/entity/Q6512,113
http://www.wikidata.org/entity/Q80976,113
http://www.wikidata.org/entity/Q9570,113
http://www.wikidata.org/entity/Q188500,112
http://www.wikidata.org/entity/Q23215,112
http://www.wikidata.org/entity/Q23466,112
http://www.wikidata.org/entity/Q40523,112
http://www.wikidata.org/entity/Q42511,112
http://www.wikidata.org/entity/Q48301,112
http://www.wikidata.org/entity/Q39246,112
http://www.wikidata.org/entity/Q40096,112
http://www.wikidata.org/entity/Q41076,112
http://www.wikidata.org/entity/Q40722,112
http://www.wikidata.org/entity/Q40791,112
http://www.wikidata.org/entity/Q35548,112
http://www.wikidata.org/entity/Q6538,112
http://www.wikidata.org/entity/Q873,112
http://www.wikidata.org/entity/Q8778,112
http://www.wikidata.org/entity/Q9711,112
http://www.wikidata.org/entity/Q159577,111
http://www.wikidata.org/entity/Q2023710,111
http://www.wikidata.org/entity/Q1413,111
http://www.wikidata.org/entity/Q23359,111
http://www.wikidata.org/entity/Q39829,111
http://www.wikidata.org/entity/Q39792,111
http://www.wikidata.org/entity/Q37693,111
http://www.wikidata.org/entity/Q37767,111
http://www.wikidata.org/entity/Q37151,111
http://www.wikidata.org/entity/Q37577,111
http://www.wikidata.org/entity/Q39464,111
http://www.wikidata.org/entity/Q36330,111
http://www.wikidata.org/entity/Q57371,111
http://www.wikidata.org/entity/Q1276,110
